block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
7,181,valid,24,petal,upper_left,inner,0,7,0.75,inner,-2.01851851851852,upper_petal,0.2,-1,12
7,182,valid,C,petal,lower_left,inner,0,7,1,outer,5,catch_trial,0.2,1,15
7,183,valid,24,petal,lower_left,outer,1,12,1.25,inner,-1.7,lower_petal,0.2,1,15
7,184,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,0.2,-1,14
7,185,valid,C,fugal,lower_left,inner,0,7,1,outer,5,catch_trial,0.2,1,19
7,186,valid,24,fugal,lower_right,inner,1,8,1.25,inner,-0.866666666666667,lower_fugal,0.2,1,19
7,187,valid,C,petal,upper_right,outer,0,11,1,outer,5,catch_trial,0.2,1,13
7,188,valid,25,petal,upper_left,outer,-1,10,1.25,inner,-1.81851851851852,upper_petal,0.2,1,13
7,189,valid,25,fugal,lower_left,outer,1,12,0.75,outer,-0.666666666666667,lower_fugal,0.2,1,19
7,190,valid,25,petal,lower_right,inner,-1,6,1,inner,-1.5,lower_petal,0.2,1,15
7,191,valid,24,uniform_control,lower_left,inner,1,8,1.25,inner,-1.64074074074074,lower_control,0.2,-1,12
7,192,valid,25,uniform_control,lower_left,outer,1,12,1.25,inner,-1.44074074074074,lower_control,0.2,1,13
7,193,valid,24,uniform_control,upper_left,outer,-1,10,0.75,inner,-2.04814814814815,upper_control,0.2,-1,14
7,194,valid,25,uniform_control,upper_right,inner,-1,6,1.25,outer,-1.84814814814815,upper_control,0.2,1,15
7,195,valid,C,uniform_control,lower_right,outer,0,11,1,inner,-5,catch_trial,0.2,1,13
7,196,valid,26,uniform_control,lower_right,outer,-1,10,1.25,outer,-1.24074074074074,lower_control,0.2,1,13
7,197,valid,26,petal,lower_right,outer,1,12,0.75,outer,-1.3,lower_petal,0.2,1,15
7,198,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,0.2,-1,16
7,199,valid,26,uniform_control,upper_left,inner,-1,6,1.25,outer,-2.04814814814815,upper_control,0.2,-1,16
7,200,valid,24,fugal,upper_right,outer,-1,10,0.75,inner,-0.251851851851852,upper_fugal,0.2,-1,14
7,201,valid,27,petal,lower_left,inner,0,7,0.75,outer,-1.5,lower_petal,0.2,-1,16
7,202,valid,25,fugal,upper_left,outer,1,12,0.75,inner,-0.0518518518518519,upper_fugal,0.2,1,15
7,203,valid,26,fugal,upper_right,inner,0,7,0.75,outer,0.148148148148148,upper_fugal,0.2,1,15
7,204,valid,26,fugal,lower_left,inner,1,8,0.75,inner,-0.866666666666667,lower_fugal,0.2,-1,20
7,205,valid,26,petal,upper_right,outer,1,12,0.75,outer,-1.61851851851852,upper_petal,0.2,1,13
7,206,valid,27,fugal,lower_right,outer,-1,10,0.75,outer,-0.666666666666667,lower_fugal,0.2,1,21
7,207,valid,27,uniform_control,upper_right,outer,1,12,0.75,outer,-2.24814814814815,upper_control,0.2,-1,16
7,208,valid,27,fugal,upper_left,inner,0,7,0.75,inner,-0.0518518518518519,upper_fugal,0.2,-1,16
7,209,valid,27,petal,upper_right,inner,0,7,1,inner,-1.81851851851852,upper_petal,0.2,-1,14
7,210,valid,27,uniform_control,lower_right,inner,0,7,1,outer,-1.44074074074074,lower_control,0.2,-1,14
8,211,valid,28,uniform_control,upper_left,outer,0,11,0.75,outer,-2.44814814814815,upper_control,0.2,-1,16
8,212,valid,C,fugal,lower_right,inner,0,7,1,inner,-5,catch_trial,0.2,-1,22
8,213,valid,28,uniform_control,lower_right,inner,0,7,0.75,outer,-1.64074074074074,lower_control,0.2,-1,14
8,214,valid,29,uniform_control,lower_left,outer,0,11,1,inner,-1.84074074074074,lower_control,0.2,-1,14
8,215,valid,28,petal,lower_right,outer,1,12,1.25,outer,-1.7,lower_petal,0.2,-1,16
8,216,valid,28,petal,upper_left,outer,1,12,0.75,outer,-1.61851851851852,upper_petal,0.2,1,15
8,217,valid,28,fugal,upper_right,outer,1,12,1.25,outer,0.148148148148148,upper_fugal,0.2,1,17
8,218,valid,29,fugal,upper_right,inner,0,7,1,outer,-0.0518518518518519,upper_fugal,0.2,-1,18
8,219,valid,C,petal,upper_left,outer,0,11,1,inner,-5,catch_trial,0.2,-1,16
8,220,valid,29,petal,upper_right,outer,0,11,1.25,outer,-1.81851851851852,upper_petal,0.2,-1,16
8,221,valid,30,uniform_control,lower_left,inner,1,8,1.25,outer,-1.64074074074074,lower_control,0.2,1,15
